concept,paper_count
electron band,1499
linear gravity,602
coherent light beam,205
planet detection,1105
hofstadter model,396
wave symmetry,1714
integer quantum hall effect,1608
topological symmetry,477
gaussian random matrix,331
therapeutic window,11301
lognormal distribution,7914
cmos compatible,3850
lagrangian field theory,420
hermitian random matrix,281
lyapunov stability,20186
zeeman shift,505
reduction modulo,490
vertical wall,4922
thz light,522
magnetic film,2371
pl spectrum,2598
ode solver,1012
encryption method,4611
tm polarization,2061
frequency agility,1054
ring current,6715
low quantum efficiency,662
electric resistance,6434
metastable state,7517
quantum cloning machine,229
lumped model,2169
infrared source,1930
higher order correction,246
kondo effect,5676
sol gel,5174
spin nematic,383
momentum operator,1446
spectral classification,3822
large prime number,154
cooperative interaction,3156
tangential force,2786
polaron model,856
electric pulse,2877
cycle phase,8543
parabolic model,938
polarized structure,1060
wave scattering length,1126
formal expansion,355
heating mechanism,2983
calcium sensor,2475
polarized current,2605
scalar perturbation,720
ace gene,3282
noether theorem,1015
passive mode locking,816
molecular field,5033
battery charge,3952
nonlinear susceptibility,4148
transition spectrum,241
reciprocal relation,1599
intensity modulation,8749
contextual effect,1039
birefringent fiber,827
plasma distribution,1332
radiative heating,3998
quantum evolution,3414
mechanical resonance,2704
electrospun fiber,1614
dft simulation,839
atmospheric transmission,2852
cyclotomic field,692
network synthesis,2579
lattice phase,785
electron avalanche,1218
negative refractive index,2468
wavefront curvature,728
graph connectivity,1463
phase accumulation,1389
photoinduced dynamic,58
coherent detector,401
nucleon force,1088
catalytic transformation,1575
coherent transmission,1505
scattering state,884
tree problem,4302
magnet system,4179
freedom model,2978
vortex motion,3464
linguistic interpretation,1160
slot waveguide,1782
electron excitation,3902
polynomial matrix,1634
coherent population trapping state,36
debye model,2640
diagonal field,158
graphene nanoflakes,876
scalar theory,2166
otoacoustic emission,3159
coherent peak,180
delayed optical feedback,340
ultraviolet spectral region,648
thermodynamic transition,513
plane magnetization,2430
rovibrational ground state,176
ab initio electronic structure,2401
ner model,852
forward dispersion relation,46
clock state,221
distributed quantum computation,299
minimization principle,1319
marginal likelihood,3637
perturbative renormalization group,756
complex response function,45
boltzmann operator,300
oscillation behavior,1088
cross pollination,1361
stance phase,7644
scattering geometry,1370
bulk field,472
laurent polynomial,1046
logical model,3577
boolean network,2077
integer linear programming formulation,1539
electrical force,620
dissipative transport,323
thermal lens effect,506
local lorentz invariance,717
resonant absorption,3394
second order response,347
light harvesting antenna,337
semiconductor band gap,319
least squares algorithm,4299
optical quantum computation,306
scattered radiation,5988
turbulent motion,1978
color coding,4617
quantum differential,379
inversion symmetry breaking,1296
stochastic neural network,344
klein gordon,429
probabilistic graph,698
focal volume,1453
linear polarizer,1061
pole expansion,291
product channel,849
mode coupling theory,1311
mellin transform,2896
fullerene cage,1386
light pressure,1198
xyz chain,141
linear decomposition,806
thin film solar cell,2518
thermal reservoir,1769
state discrimination,1765
linear control problem,147
photon ionization,4963
dirac plasmon,108
polarization filter,884
nano structuring,175
spin crossover,5344
multiplicative inverse,536
chirped pulse,4544
line graph,5190
marchenko equation,267
hypergeometric distribution,1352
exponential stabilization,1593
material anisotropy,1911
frequency mode,3468
quantum simulator,2462
quantum network,4873
live cell imaging,9586
continuous time markov chain,1127
wavefront distortion,1082
navigation algorithm,3672
conflict graph,889
deterministic protocol,280
thermophoretic force,447
optical line,3271
real coded genetic algorithm,717
catalan number,487
signal noise ratio,2685
majorana neutrino,2754
speckle correlation,1399
nanopillar array,511
dynamical symmetry breaking,1164
degenerate parametric oscillator,127
quantum diffusion,1408
translational invariance,2384
curvature fluctuation,84
permutationally invariant,378
hyperfine state,410
gauge force,471
lattice dimension,431
microwave circuit,2301
interpolation model,1439
energy integral,1153
diamond lattice,1668
gauge model,1866
spatiotemporal correlation,1521
spatiotemporal modeling,1331
terahertz source,750
semidefinite programming formulation,82
classical control field,22
scattering channel,962
ica method,767
hamilton principle,1386
variational wave function,655
variance effect,170
prime decomposition,341
antiferromagnetic heisenberg,2245
rt model,639
relaxation operator,171
cosmological information,1451
scattering phase shift,742
electric interaction,386
eigenfunction expansion,2731
circulating beam,764
chaotic time series,3385
polarization mechanism,1101
jamming attack,1101
hubbard chain,815
correlated tunneling,141
density correction,667
propagation range,643
weak transition,576
spin fluctuation,2156
hot phonon effect,67
frobenius theorem,921
operator method,4087
nuclear mean field,270
fermi atom,114
pic simulation,1813
kinematic interaction,462
order state,2679
surface dangling bond,82
singlet ground state,2764
skew angle,1958
abelian extension,793
unruh radiation,327
dynamical algebra,195
red wavelength,683
photon photoluminescence,348
abel transform,583
fluorescent labeling,4916
vacuum induced coherence,24
porous film,1617
scattered electron,2315
message authentication code,1763
gw detector,432
sign function,1810
trapping force,866
clock drift,1241
matrix interaction,2855
annular ring,1685
probabilistic machine learning,897
digital representation,4874
lattice simulation,1161
ultracold gas,736
damping mechanism,2455
polarization detection,1208
fluorescent labelling,1143
binary encoding,1794
microwave frequency range,1464
matrix operation,1338
lattice wave,378
propositional satisfiability,839
elaborate model,463
merton model,1012
flip flop,1519
si nc,246
bardeen cooper schrieffer theory,7
ferroelectric structure,225
dual sector,269
conduction band electron,280
fresnel equation,246
ising hamiltonian,701
smoothing function,1185
net polarization,588
boundary curvature,566
weak excitation,633
complex angular momentum,472
tracial state,342
compression problem,686
mutual compatibility,528
second order differential equation,1631
wkb expansion,215
non commutative extension,4
radical extension,236
geometric optimisation,218
common reference frame,561
confluent hypergeometric,2081
ring diagram,167
riemann space,356
oscillatory phase,617
partial wave analysis,2051
optical wavelength conversion,1050
cyclic network,206
radio frequency radiation,521
cluster correlation,1127
electron bandwidth,152
kerr field,109
superpixel method,134
computer generated hologram,881
quadrature phase shift keying,3000
wafer scale integration,385
metastable transition,256
rotational energy transfer,873
feshbach resonance,3425
coherent network,609
transition array,466
composition theorem,417
charge sensitive amplifier,482
stringy model,27
metric entropy,933
supersymmetric theory,986
optoelectronic system,1638
angular orientation,1585
transverse kinetic energy,406
sharp wave,1510
spectral vicinity,109
confining magnetic field,441
silicon nitride waveguide,611
nonlinear refraction,1922
chemical specificity,1603
bogoliubov transformation,789
bethe salpeter,115
dirac electron theory,42
collective spin wave,50
relation information,609
chaotic laser,558
heavy quarkonia,1452
toroidal moment,313
laser absorption spectroscopy,4687
quantum mutual information,508
quantum degenerate,1017
pure rotational transition,81
mining association rule,339
spontaneous radiation,946
encrypted communication,1074
macroscopic boundary condition,28
prolate shape,612
tensor network algorithm,148
bratteli diagram,189
scalar particle,1915
longitudinal correlation function,77
forcing mechanism,1046
orbital frequency,1172
paramagnetic phase transition,563
superconducting nb,1204
droplet model,1353
white light source,1242
bond stretching,1740
algebra homomorphism,505
coherent state representation,424
quartet state,483
bounded distance decoding,199
metal grating,1131
solid phase transition,1964
photon radiation,2504
weak function,835
plasmonic interaction,149
fourth order moment,105
microwave resonance,764
aluminum surface,2557
dynamical spin structure factor,268
convergent power series,527
bus waveguide,729
nonequilibrium green function,509
strong absorption band,669
genuinely nonlinear,389
path integral quantization,554
atomic collision,1004
earth observation mission,342
light nucleus,288
mass displacement,2170
quantizing magnetic field,976
optical theorem,1355
soliton structure,329
mesoscopic transport,494
quantum transmission,441
fractional dimension,651
mapping torus,477
mean electric field,214
triangle relation,248
molecular semiconductor,452
chiral edge state,178
anisotropic motion,399
bosonic mode,663
magnetic nanostructure,315
charge diffusion,1155
time series measurement,118
conservative force field,104
transverse distance,756
path integral action,38
massless spin,1023
microchannel plate detector,466
nonclassical behavior,305
rr field,125
drude formula,131
torsional motion,1437
equilibrium effect,687
directional transmission,1022
polariton emission,236
free space coupling,96
disordered regime,257
polynomial identity,980
transport coefficient,2473
response tensor,246
sturm liouville,177
information transmission rate,509
multidimensional integration,458
quasi free,262
molecular excitation,824
hall transport,448
photon luminescence,603
quantum waveguide,334
superconducting material,1915
high timing resolution,242
thermal phonons,729
hypergraph theory,404
antenna coupling,1008
collective electronic excitation,41
large deflection angle,149
point detector,1360
space time structure,45
pointwise mutual information,867
optical birefringence,1562
coupled problem,2446
oscillation phase,862
radial orbit,465
coherent feedback,615
transmission map,1034
matrix factorization algorithm,744
state dimension,878
transition threshold,940
label free detection,310
topological photonics,1269
nonadiabatic transition,598
dipole picture,486
irreducible matrix,270
quantum structure,2096
hierarchical distribution,564
binary reaction,313
zeeman sublevels,672
polariton dispersion,716
ct method,2309
sic crystal,838
fourier ptychography,721
coherent destruction,256
hamiltonian reduction,839
phase representation,544
excitonic coupling,897
force free,638
spectral multiplexing,402
adiabatic limit,2108
invariant vector,771
local lorentz transformation,77
spin problem,275
digital memory,1981
relativistic symmetry,242
fermi circle,31
kink formation,370
fraction field,658
montecarlo simulation,614
transitive closure,2513
dispersion map,584
differential space,1073
fourier imaging,493
high energy radiation,1636
nonlinear mixing,1193
superficial similarity,877
ew vacuum,41
heavy ion scattering,196
john conway,411
para state,720
spatial amplitude,427
free electron density,779
intense laser field,1508
hierarchical theory,457
block diagonal matrix,306
nondiffracting beam,101
euclidean metric,2365
energy fraction,1504
gauge equivalence,544
semiclassical propagation,124
laser written waveguide,57
scalar scattering,265
finer lattice,108
huntingtons disease,229
secure communication protocol,427
wave guiding,777
dirac field,1767
atomic source,256
conformal geometry,1494
intense terahertz radiation,117
quantum shot noise limit,22
enhanced electric field,1020
electronic dispersion,868
fermi wavelength,522
spectroscopic fingerprint,256
group reduction,699
superconducting quantum computing,352
dm coupling,144
binomial coefficient,959
inductive inference,2289
radio detection,2069
triplet scattering length,56
tangential electric field,639
relation network,1007
linear programming relaxation,1316
massless dirac fermion,335
cohesive force,2333
momentum integral,667
packet collision,1073
graphene nanostructures,1480
geometric resonance,598
audio generation,986
quantum volume,305
deterministic finite automaton,901
collisional interaction,341
excitation transport,337
rigged hilbert space formulation,28
saddle node,663
electron phase,1258
vertex space,63
positive entropy production,143
mode squeezed state,448
trapped bose gas,399
cone program,734
gaussian coupling,135
chaos transition,256
spin depolarization,463
thermal relaxation rate,73
error correcting capability,462
time domain algorithm,404
eit effect,226
fractional occupation,342
fresnel number,902
photon pair creation,63
fiber geometry,1136
shack hartmann,243
particle number density,1548
differential delay equation,161
topological laser,112
linear magnetic field,330
hamiltonian field theory,153
max sat,120
fresnel zone plate,1698
gaussian entanglement,344
fano interference,635
fourier matrix,285
narrow spectral line,192
guest molecule,3654
variational ansatz,963
wave dynamic,453
symmetry representation,97
transverse electric wave,106
weighted entropy,454
nn interaction,881
relativistic interpretation,183
diffractive interaction,41
topological edge state,378
electron band structure,435
strain tuning,521
visible energy,540
geometric projection,978
dirichlet eigenvalue,633
nonlinear projection,474
reversible evolution,212
phase interaction,1443
ribbon graph,209
quadratic stark effect,212
pseudoscalar boson,298
steepest gradient,408
electron atomic,780
rf magnetic field,795
twisted beam,167
adiabatic mode,676
moyal bracket,100
numerator polynomial,202
quantum thermalization,331
coalescence probability,137
rotational coherence,339
kinematic relation,267
binary dynamic,132
fp equation,217
photosynthetic light harvesting,406
spin decoherence,839
weyl space,185
benchmark algorithm,826
resonant transition,665
molecular fingerprinting,1507
plat closure,36
magnetic field applied perpendicular,473
terahertz field,778
bethe ansatz equation,130
high energy state,256
binary matroid,190
turbulence dynamic,17
majorana representation,264
spin detector,192
marginal problem,262
finite group algebra,72
hot atom,543
planck distribution,395
portfolio optimisation,1072
structural relation,1400
cascade emission,347
waveguide core,1017
invariant scalar product,85
magnetic reflection,150
symmetric dimer,536
asymmetric collision,115
quotient graph,332
shaking frequency,351
density oscillation,276
quantum mechanical scattering,449
plasmon effect,459
low energy nuclear,922
tomography problem,779
axis field,541
translation group,718
bargmann space,311
astronomical spectroscopy,648
spin squeezed state,56
equilibrated state,231
bayesian statistical inference,595
finite energy gap,215
connected correlation function,54
dipole structure,901
topological anderson insulator,190
integer partition,373
emission amplitude,454
ultracold atomic gas,247
commuting hamiltonians,249
brewster effect,232
radial equation,643
nuclear forward scattering,287
dmrg algorithm,144
energy oscillation,172
atomic sensor,139
light polarization plane,82
spatial soliton,926
geometric anisotropy,332
binary entropy function,101
inequality relation,133
diffracted wave,817
silicon photonic chip,511
quantum dynamics simulation,178
rindler space,430
loop perturbation theory,367
polynomial time heuristic,174
terahertz light,460
network scheduling,1119
nuclear magnetic moment,555
anisotropy measurement,562
electronic detection,970
free lattice,651
diffusive scaling,563
non linear regression,405
lanthanide atom,106
high resolution detection,240
phase recognition,828
renormalizable model,251
planar optical waveguide,573
mass spring system,201
closure relation,719
source symbol,279
quantum trajectory analysis,32
high purcell factor,110
massive fermion,408
recoil momentum,565
cooperative scattering,101
high tensile stress,691
quantum feedback control,382
graphic processor,482
gated gaas,137
homogeneous boundary condition,285
nonlinear optical resonator,47
photon indistinguishability,392
ms model,802
quantum mechanical tunneling,1098
fermionic quantum field theory,43
quadrupolar interaction,698
quantum critical behavior,768
ultraviolet photon,456
sphere geometry,500
spatiotemporal dynamic,922
microwave intensity,297
resonant damping,198
aromatic molecule,854
iswap gate,119
thermal quantum field theory,96
bimodal cavity,174
photonic lantern,570
vector group,1136
airborne particle,1561
nuclear overlap function,36
non fermi liquid,120
polynomial scaling,324
pertinent problem,217
cubic nonlinearities,966
infrared pulse,830
conic programming,689
atomic scale resolution,199
circulant matrix,1171
electrostatic mode,249
field suppression,431
divergent response,430
rabi rotation,30
power decay,565
resonant emission,426
logical function,908
asynchronous network,682
scattering diagram,316
semantic information theory,91
rotational brownian motion,438
inverse electromagnetic scattering problem,104
perturbed energy,325
uncertainty distribution,867
delay line detector,69
scattering wave vector,152
phosphorus donor,588
stochastic difference equation,329
hopf structure,205
peak transmission,1038
partial symmetry breaking,43
black phosphorous,740
van der waals interaction energy,261
continuous variable state,42
wall plug efficiency,440
spin logic,569
continuum scattering,173
nanobeam cavity,415
nonlinear resonator,472
orbital expansion,388
magnetic field flux,243
butterfly network,476
holonomic quantum computation,344
rectification effect,884
molecular polarization,443
bohm theory,297
negative dielectric anisotropy,695
finite dimensional hilbert space,280
time dependent damping,30
homogeneous markov chain,862
hermitian quantum system,76
local quantum field theory,403
sr model,929
broadband imaging,617
spectral invariant,340
phase retrieval problem,971
stochastic path integral,111
univariate function,315
local gauge invariance,409
matrix completion algorithm,267
free action,1447
convex cost function,451
anisotropic exchange coupling,102
repulsive particle,201
discrete nonlinear schrodinger,220
machs principle,13
gap mode,406
near infrared wavelength regime,28
quantum generative adversarial network,103
quantum chaotic regime,30
nonreciprocal transmission,539
hyperbolic differential equation,144
transmission stage,477
microwave link,1100
mutual repulsion,599
xy interaction,93
ambient photon,124
tilted dirac cone,116
quantum variational principle,26
dense measurement,168
semiclassical wave function,62
density state,624
near field diffraction,72
non commutative geometry,109
ch radical,386
coherent phonon generation,175
isotropic diffusion,952
electron self energy,99
xxz heisenberg model,127
complex euclidean space,341
proximity theorem,47
microwave billiards,95
photon interference visibility,103
chiral waveguide,154
optically induced magnetization,96
bag boundary condition,73
photon interference fringe,28
exponential amplification,1029
wave front sensing,181
memory mode,382
skew information,464
magnetic side,119
cavity vacuum,190
argonne wakefield accelerator,333
faithful transmission,438
eel state,210
material permittivity,318
energy dispersion relation,245
high tc superconductivity,496
lattice oscillation,80
high optical power,823
dielectric system,468
collimated laser beam,542
magnetic chain,524
de sitter space time,51
multiplicative complexity,345
strong longitudinal magnetic field,130
quantum mechanical equation,82
cactus graph,161
chaotic band,65
quantum state distribution,73
gradient index lens,308
collective transition,121
integrated photonic chip,184
twisted state,233
transversal mode,222
resonant conversion,363
paramagnetic material,310
critical coupling strength,428
phonon replica,390
absorption image,178
atomically thin semiconductor,162
pulsed light source,454
doping atom,114
low density material,229
fault tolerant operation,307
lorentzian model,218
toroidal carbon nanotube,20
fresnel transform,583
soluble model,1184
robust phase estimation,49
coupling operator,346
spatial density distribution,314
relativistic spacetime,507
langevin formulation,84
free fall motion,172
electron photon,251
metropolitan scale,896
electromagnetic surface wave,148
gelfand pair,247
equilibrium response,800
lower triangular matrix,537
interbasis expansion,22
riemannian structure,1016
periodically poled potassium titanyl phosphate,151
stationary wave function,43
dense state,579
multiparty protocol,67
relative magnetization,235
band folding,353
weyl geometry,388
spiking behavior,531
anti bonding,20
reversible logic circuit,115
magnetic field perturbation,501
nanoparticle aggregate,165
longest common subsequence problem,314
recoil kick,90
lg beam,289
spinning cosmic string,130
topological sector,503
formal symmetry,119
rotational covariance,37
direct frequency comb spectroscopy,160
extrasolar planet detection,109
geometric state,357
low conversion efficiency,975
josephson tunnel junction,333
rabi coupling strength,25
magnetic field sweep,250
temperature dependent measurement,59
steep variation,116
magnetic crystal,354
fermion operator,255
third order nonlinear susceptibility,233
directional excitation,300
complex projective plane,780
classical harmonic analysis,131
linear network code,93
circularly polarized electromagnetic field,77
coupled photon,255
density matrix expansion,132
thermal bath temperature,39
relativistic law,67
incommensurate charge density wave,208
phase flip,416
rank gene,99
ground state factorization,12
coulomb effect,347
linearly polarized plane wave,189
state vector reduction,88
picosecond temporal resolution,249
magnetic field imaging,420
thermal density matrix,187
gravitational wave interferometer,172
strong duality theorem,190
spin isomer,400
ultra high sensitivity,153
superconducting quasiparticle,87
photon fock state,199
harmonic oscillator mode,13
thermal collision,171
exponential polynomial,334
farkas lemma,175
symmetric tridiagonal matrix,261
hysteretic effect,247
modulation strength,426
reaction dynamic,253
quantum cheshire cat,88
entropy problem,344
plane spin polarization,303
dirac current,138
higher order vortex,34
oscillatory frequency,803
ionic correlation,77
instantaneous quantum polynomial time,20
quantum loop,704
kerr coefficient,490
perovskite quantum dot,805
chip spectrometer,265
adiabatic model,787
repulsive interatomic interaction,16
orthogonal state,327
boundary force,332
superluminal source,145
exciton plasmon coupling,6
geometric phase transition,173
classical ising model,308
evolution trajectory,435
quasi particle,278
optical quantum circuit,21
infrared spectroscopy measurement,128
cellular dynamic,202
nonlinear amplifying loop mirror,493
particle mobility,1099
energy representation,624
weak damping limit,22
coherent energy transfer,290
jensen shannon distance,11
electron shelving,81
fourier lens,229
gaseous matter,227
string order parameter,168
binary neural network,773
momentum perpendicular,136
quantum darwinism,474
eds model,66
sonoluminescing bubble,141
ultracold molecule,111
frequency entrainment,328
energy dynamic,514
partial transposition criterion,60
metropolis hastings markov chain,12
ehrenfest theorem,286
intermolecular force,1292
sagnac interferometry,142
genuine randomness,91
photon subtraction,552
exciton oscillator strength,233
vortex dynamic,140
polygamy inequality,25
modular character,266
spectral degeneracy,158
quantum chaotic map,22
leg spin ladder,220
dual comb system,14
error free transmission,438
markovian semigroup,120
thermal polarization,225
vortex trajectory,310
qd system,349
spherical envelope,176
functional hilbert space,65
louvain algorithm,690
adiabatic system,199
clifford geometric algebra,118
self affine fractal,21
ng boson,64
multiplicative operator,105
nonlinearly coupled oscillator,9
transitive graph,587
hyperfine spectroscopy,213
ramsey sequence,99
remote identification,693
hermitian lattice,231
reflection asymmetry,185
coupled nls equation,24
laplacian eigenmap,219
ir relation,73
periodic time modulation,52
bell operator,100
scalar quantity,1181
positive steady state,472
colloidal sphere,231
peak laser intensity,156
local correlation tracking,321
closed form formulation,48
continuous wave field,41
sweeping effect,201
relativistic bremsstrahlung,96
time dependent harmonic oscillator,34
consecutive pair,114
quantum searching,209
adiabatic berry phase,48
faraday rotation effect,217
high resolution laser spectroscopy,300
intermediate mixed state,50
phonon reservoir,74
nuclear ensemble,179
molecular chaos,321
transverse interaction,135
bosonic gaussian channel,41
angular momentum plane,250
superradiant quantum phase transition,80
perturbative interaction,102
weakly bound trimer,20
quantum spectrum,465
lattice representation,364
invariant set theory,134
wave function representation,69
nonlocal transformation,87
ground rule,297
molecular qubits,331
topological color code,25
passive phase shifter,143
crystal ground state,76
clifford gate,216
lindblad evolution,115
jump operator,212
finite projective plane,254
triplet resonance,69
kinematical state,57
rotation sensor,601
eulerian graph,209
sliding window decoding,98
phase twist,104
light cone structure,97
neural network verification,459
quantum circuit learning,75
raman scattering measurement,180
whittaker function,279
levi civita,93
second cohomology group,404
low order aberration,35
scattering force,453
frequency interpretation,269
stationary orbit,212
ns equation,295
galois connection,570
blackbody limit,156
structured reservoir,166
metasurface lens,386
point source distribution,40
stochastic search algorithm,438
time dependent quantum system,8
closed loop mode,160
cs emission,235
crystal optic,62
magnetic dipolar resonance,28
closed topological manifold,30
entangled pure state,129
polariton wavelength,56
ito integral,168
quadrupolar mode,154
electron positron pair,75
low order harmonic,160
sige heterostructure,424
isotropic symmetry,191
marchenko integral equation,76
classical xy model,210
coherent quantum noise cancellation,25
quantum dot state,52
molecular connection,433
finite periodic array,83
dilation theorem,186
self supervised learning,196
hilbert module,307
momentum fluctuation,86
close form expression,73
time dependent wave packet,49
shadow wave function,74
strand braid group,89
doppler limit,270
spin orbit splitting,113
classical convolutional neural network,269
linear waveguide,300
macroscopic density,283
biorthogonal basis,138
coherent matter wave,57
free quantum brownian particle,14
quasiconformal map,135
intermediate energy level,98
dielectric block,164
low velocity regime,76
magnetic waveguide,138
retro reflector,73
optical squeezing,117
square lattice ising model,148
heisenberg xy model,59
sparse operator,64
forward scattered light,279
finite chevalley group,71
photonic band diagram,61
band non parabolicity,6
almost periodic function,286
non cooperative game,123
nonlinear harmonic generation,217
low energy mode,79
plane wave spectrum,389
finite truncation,143
cosmological particle creation,135
supersymmetric ground state,47
commutative torus,124
schur duality,55
low dimensional state space,11
complex nonlinear interaction,58
nonclassical mechanical state,4
negative conditional entropy,38
higher partial wave,64
degenerate ground state manifold,53
ultrafast transport,162
biexciton binding energy,378
quadratic fermionic hamiltonians,26
rashba hamiltonian,89
quantum spin tunneling,42
narrow spectral region,133
reversible cellular automaton,89
fluid moment,139
elliptic deformation,130
nitrogen vacancy centre,78
soliton spectrum,140
absolutely maximally entangled state,25
nonstationary casimir effect,27
borel structure,108
subcritical pitchfork bifurcation,88
polarization vortex,186
causal evolution,205
cotton mouton effect,8
stationary turing pattern,13
quantum search problem,33
trion state,142
thermal fluctuation effect,29
vortex electron,113
ice morphology,278
invariant algebra,145
nanotube quantum dot,256
carbon nanotube quantum dot,220
rabi transition,16
subthreshold signal,106
dipolar particle,63
adiabatic gate,81
entangled particle,198
spontaneous pt symmetry breaking,17
force operator,115
superintegrable system,182
manakov equation,107
topological magnet,85
lattice space,680
probabilistic error cancellation,119
ring trap,296
picosecond laser pulse,555
qsh phase,108
entanglement depth,98
space time distribution,40
chiral dynamic,28
reversible energy exchange,24
protein droplet,106
condensate mode,95
gaussian moment,113
metric traveling salesman problem,58
low threshold laser,107
path length variation,64
super planckian,9
projected entangled pair state,180
type ii dirac cone,6
continuum bound state,31
contextual relation,190
floquet system,241
sound algorithm,170
massive mode,165
optical fibre link,151
discrete orbit,35
backscattered photon,74
wavelength dependent absorption,96
fast electron beam,331
liouville function,198
li fermi gas,34
non local interaction,12
direct product state,28
low excitation power,342
high kerr nonlinearity,104
photon addition,296
non linear transformation,22
nonthermal state,53
gradient echo memory,106
mps representation,75
josephson charge qubit,61
collective atomic excitation,44
collective atomic state,35
bo method,152
population asymmetry,81
free flight time,40
floquet spectrum,241
holographic optical tweezer,41
high intensity pulse,109
nonadiabatic correction,75
converted photon,161
geometric moment,318
chernoff information,177
quantum unitarity,153
heavy molecule,59
generic line,115
high resolution optical spectroscopy,185
quantum dot source,68
fluxonium qubit,184
schroedingers cat,7
quantum position verification,55
hydrogen ground state,131
variational quantum classifier,192
prolate spheroidal wave function,119
dissipative damping,101
heralded photon,163
classical probabilistic model,38
photonic inverse design,114
cayley transform,491
linear stark shift,55
bosonic commutation relation,17
minkowskian space,216
spatio temporal pattern,17
nonlinear time evolution,124
trotterized time evolution,23
harmonic oscillator perturbed,74
inner product structure,93
colliding pair,92
swap operator,150
block vector,135
macroscopic occupation,176
classical laser field,63
deterministic scattering,70
static wormhole,157
atomic diffraction,122
optical cavity field,82
rational coordinate,20
resonating valence bond state,115
dirac hamiltonian operator,14
harmonic trapping frequency,20
rate equation theory,92
continuous variable quantum computation,20
recursive composition,102
free quantum field theory,105
quantum accelerator,215
micro mechanical oscillator,8
twisted electron,107
mind body problem,57
super algebra,94
finite dimensional quantum system,33
quantum interactive proof system,44
electronic structure simulation,57
nlo effect,174
time resolved arpes,9
integral line,148
relativistic laser plasma interaction,33
quantized charge transport,42
non equilibrium behavior,7
soliton number,105
polarimetric signal,148
tensor index,67
pi resonance,108
qubit excitation,75
photon echo quantum memory,26
local uncertainty relation,13
dense point spectrum,42
nambu goldstone,120
higher order correlation function,16
polarized nuclear spin,38
thermal emission spectroscopy,211
lattice chiral symmetry,75
thermal brownian motion,64
circuit level simulation,169
strong tunneling regime,55
gauge dynamic,16
classical spin glass,44
anisotropic perturbation,74
k meson system,27
ultra high spatial resolution,37
real space renormalization group transformation,17
laser atom interaction,9
multipole basis,47
pt symmetric quantum system,1
spin polarization vector,88
non gaussian character,11
trapped ion crystal,16
spatio temporal evolution,19
nnn coupling,58
dissipative quantum chaos,49
self replicating,115
green sulphur bacteria,194
geometric phase factor,52
weyl invariant action,14
spin orbit parameter,1
laser interferometer gravitational wave detector,42
non magnetic material,20
lattice excitation,122
dynamical response function,70
geometrical invariant,103
bilinear biquadratic,26
entropic formulation,116
rabi resonance,81
thermal equilibration time,49
atom number distribution,25
lab measurement,259
deep inelastic reaction,26
adiabatic reduction,66
newtonian interaction,90
cooperative lamb shift,51
spectral wigner function,10
non bipartite graph,4
instanton interaction,41
noncollinear magnetic structure,213
hermitian tensor,50
raman quantum memory,59
high energy pulse,192
nmr quantum computer,165
quantum homodyne tomography,83
binary waveguide array,15
quantum mechanical hilbert space,41
microtoroid resonator,59
inverse square root singularity,45
free lattice fermion,8
lasing frequency,397
lat energy band,17
dilute atomic gas,85
self trapping phenomenon,3
coupled cavity array,72
asymmetric split ring resonator,24
free space quantum communication,38
linear harmonic chain,32
finite symplectic,210
entanglement correlation,63
electrically neutral particle,27
symplectic polar space,56
interpretational problem,31
spin helicity,109
quantum mechanical anharmonic oscillator,19
scattering matrix element,140
quantum repeater node,51
finite fermi system,52
floquet basis,49
coherent quantum evolution,42
weak oscillator strength,55
wave like pattern,39
electric field energy density,46
relativistic heavy quark,134
spatially periodic modulation,79
negacyclic code,20
wkb formula,72
phase coherent state,29
cloning transformation,58
gauge operator,41
tribonacci number,47
anti counterfeiting,31
translationally invariant state,20
x ray spectrum,56
thermodynamic fluctuation,184
geodesic arc,51
semigroup representation,51
spin quantum hall effect,54
restricted lorentz group,43
drude dielectric function,68
ultra low threshold,34
long haul transmission,298
thermodynamic inequality,50
leptonic decay mode,85
quantum nonlinear system,8
power law system,12
tensor product operator,21
language recognition power,19
majorana star,14
entanglement characterization,87
high energy resonance,16
symmetric boundary condition,70
chirality operator,84
quantum szilard engine,64
parametric harmonic oscillator,37
isotropic heisenberg chain,74
non thermal effect,13
ultraslow group velocity,28
degenerate quantum code,8
semi insulating gaas,34
finite convergence radius,23
unambiguous quantum state discrimination,30
classical electric field,71
interior boundary condition,16
tripartite entanglement measure,19
polarization squeezing,129
interleaved randomized benchmarking,58
singular oscillator,138
collective symmetry breaking,51
nanoscale silicon waveguide,9
kitaev honeycomb lattice model,26
lowest electronic state,97
magnetic dipole excitation,43
phasing error,72
electron atom collision,10
mid infrared quantum cascade laser,16
higher dimensional phase space,37
finite time stabilization,171
anisotropic heisenberg interaction,13
time resolved magneto optical kerr effect,7
symmetric quantum dot,39
maxwell field theory,33
algebraic machinery,142
qubit code,220
de broglie frequency,33
third order interaction,38
phase space attractor,28
wheeler dewitt,77
linear stochastic wave equation,36
solid state quantum computing,49
motion operator,33
commutator structure,72
non destructive detection,42
coarse grained representation,30
atomic spin state,27
high interference visibility,27
pulse fluctuation,89
spin precession rate,31
momentum space wave function,29
critical random matrix ensemble,16
femtosecond dynamic,35
hashing protocol,39
anyonic excitation,17
non resonant production,12
spin wave interaction,21
covariant quantum channel,4
low temperature model,29
dual rail encoding,22
phase space displacement,16
